week,awayTeam,homeTeam,awayScore,homeScore,OT
12,DAL,WAS,34,26,FALSE
12,MIN,CHI,30,27,TRUE
12,KC,CAR,30,27,FALSE
12,DEN,LV,29,19,FALSE
12,ARZ,SEA,6,16,FALSE
12,SF,GB,10,38,FALSE
12,PHI,LAR,37,20,FALSE
12,BAL,LAC,30,23,FALSE
13,CHI,DET,20,23,FALSE
13,NYG,DAL,20,27,FALSE
13,MIA,GB,17,30,FALSE
13,LV,KC,17,19,FALSE
13,SEA,NYJ,26,21,FALSE
13,PIT,CIN,44,38,FALSE
13,IND,NE,25,24,FALSE
13,ARZ,MIN,22,23,FALSE
13,TEN,WAS,19,42,FALSE
13,LAC,ATL,17,13,FALSE
13,HOU,JAX,23,20,FALSE
13,TB,CAR,26,23,FALSE
13,LAR,NO,21,14,FALSE
13,PHI,BAL,24,19,FALSE
13,SF,BUF,10,35,FALSE
13,CLE,DEN,32,41,FALSE
14,GB,DET,31,34,FALSE
14,ATL,MIN,21,42,FALSE
14,NO,NYG,14,11,FALSE
14,JAX,TEN,10,6,FALSE
14,LV,TB,13,28,FALSE
14,CLE,PIT,14,27,FALSE
14,CAR,PHI,16,22,FALSE
14,NYJ,MIA,26,32,TRUE
14,SEA,ARZ,30,18,FALSE
14,BUF,LAR,42,44,FALSE
14,CHI,SF,13,38,FALSE
14,LAC,KC,17,19,FALSE
14,CIN,DAL,27,20,FALSE
15,LAR,SF,12,6,FALSE
15,BAL,NYG,35,14,FALSE
15,NYJ,JAX,32,25,FALSE
15,WAS,NO,20,19,FALSE
15,CIN,TEN,37,27,FALSE
15,MIA,HOU,12,20,FALSE
15,KC,CLE,21,7,FALSE
15,DAL,CAR,30,14,FALSE
15,NE,ARZ,17,30,FALSE
15,TB,LAC,40,17,FALSE
15,BUF,DET,48,42,FALSE
15,IND,DEN,13,31,FALSE
15,PIT,PHI,13,27,FALSE
15,GB,SEA,30,13,FALSE
15,CHI,MIN,12,30,FALSE
15,ATL,LV,15,9,FALSE
16,DEN,LAC,27,34,FALSE
